iter	Passed	Remaining
496	605	612
497	606	611
498	607	610
499	608	608
500	610	607
501	611	606
502	612	605
503	614	604
504	615	603
505	616	602
506	618	601
507	619	600
508	620	599
509	622	597
510	623	596
511	624	595
512	626	594
513	627	593
514	628	592
515	629	590
516	631	590
517	633	589
518	634	587
519	635	586
520	636	585
521	637	584
522	639	583
523	640	581
524	641	580
525	643	579
526	644	578
527	645	577
528	647	576
529	648	574
530	649	573
531	650	572
532	652	571
533	653	569
534	654	568
535	655	567
536	656	566
537	658	565
538	659	563
539	660	562
540	661	561
541	662	560
542	664	559
543	665	557
544	666	556
545	667	555
546	669	554
547	670	553
548	671	551
549	673	550
550	674	549
551	675	548
552	677	547
553	678	545
554	679	544
555	680	543
556	682	542
557	683	541
558	684	539
559	685	538
560	686	537
561	688	536
562	689	535
563	690	533
564	691	532
565	693	531
566	694	530
567	696	529
568	697	528
569	698	526
570	699	525
571	701	524
572	702	523
573	703	522
574	705	521
575	706	520
576	707	519
577	709	517
578	710	516
579	711	515
580	713	514
581	714	513
582	715	511
583	716	510
584	717	509
585	719	508
586	720	507
587	721	505
588	722	504
589	724	503
590	725	502
591	726	500
592	727	499
593	728	498
594	730	496
595	731	495
596	732	494
597	733	493
598	734	491
599	736	490
600	737	489
601	738	488
602	740	487
603	741	485
604	742	484
605	743	483
606	745	482
607	746	481
608	747	479
609	748	478
610	750	477
611	751	476
612	752	475
613	754	474
614	755	472
615	757	472
616	758	470
617	759	469
618	760	468
619	762	467
620	763	466
621	765	464
622	766	463
623	767	462
624	769	461
625	770	460
626	771	459
627	772	457
628	773	456
629	775	455
630	776	454
631	777	452
632	778	451
633	779	450
634	781	449
635	782	447
636	783	446
637	784	445
638	785	443
639	787	442
640	788	441
641	789	440
642	790	438
643	791	437
644	792	436
645	794	435
646	795	434
647	796	432
648	797	431
649	798	430
650	800	429
651	801	428
652	802	426
653	804	425
654	805	424
655	806	423
656	808	421
657	809	420
658	810	419
659	811	418
660	812	416
661	814	415
662	815	414
663	816	413
664	817	411
665	819	410
666	820	409
667	821	408
668	822	407
669	823	405
670	825	404
671	826	403
672	827	402
673	828	400
674	829	399
675	831	398
676	832	397
677	833	396
678	835	394
679	836	393
680	838	392
681	839	391
682	840	390
683	841	388
684	842	387
685	844	386
686	845	385
687	846	383
688	847	382
689	848	381
690	850	380
691	851	379
692	852	377
693	853	376
694	855	375
695	856	374
696	857	372
697	858	371
698	859	370
699	861	369
700	862	367
701	863	366
702	864	365
703	865	364
704	866	362
705	868	361
706	869	360
707	871	359
708	872	357
709	873	356
710	875	355
711	876	354
712	877	353
713	878	351
714	879	350
715	881	349
716	882	348
717	883	347
718	884	345
719	886	344
720	887	343
721	889	342
722	890	341
723	891	339
724	892	338
725	894	337
726	895	336
727	896	335
728	897	333
729	899	332
730	900	331
731	901	330
732	902	328
733	904	327
734	905	326
735	906	325
736	908	324
737	909	322
738	910	321
739	911	320
740	913	319
741	914	317
742	915	316
743	916	315
744	917	314
745	919	313
746	920	311
747	921	310
748	922	309
749	924	308
750	925	306
751	926	305
752	928	304
753	929	303
754	930	301
755	932	300
756	933	299
757	934	298
758	935	297
759	937	296
760	938	294
761	939	293
762	940	292
763	942	291
764	943	289
765	944	288
766	945	287
767	946	286
768	948	284
769	949	283
770	951	282
771	952	281
772	953	279
773	954	278
774	956	277
775	957	276
776	958	275
777	959	273
778	960	272
779	962	271
780	963	270
781	964	268
782	965	267
783	967	266
784	968	265
785	969	264
786	970	262
787	971	261
788	973	260
789	975	259
790	976	258
791	977	256
792	979	255
793	980	254
794	982	253
795	983	251
796	984	250
797	985	249
798	986	248
799	988	247
800	989	245
801	990	244
802	991	243
803	993	242
804	994	240
805	995	239
806	996	238
807	997	237
808	999	235
809	1000	234
810	1001	233
811	1003	232
812	1004	230
813	1005	229
814	1006	228
815	1008	227
816	1009	226
817	1010	224
818	1011	223
819	1013	222
820	1014	221
821	1015	219
822	1016	218
823	1018	217
824	1019	216
825	1020	215
826	1021	213
827	1022	212
828	1024	211
829	1025	210
830	1027	208
831	1028	207
832	1029	206
833	1031	205
834	1032	203
835	1033	202
836	1034	201
837	1035	200
838	1037	199
839	1038	197
840	1039	196
841	1040	195
842	1041	194
843	1043	192
844	1044	191
845	1046	190
846	1048	189
847	1049	188
848	1050	186
849	1051	185
850	1053	184
851	1054	183
852	1055	181
853	1057	180
854	1058	179
855	1059	178
856	1060	177
857	1062	175
858	1063	174
859	1064	173
860	1065	172
861	1067	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1074	163
868	1075	162
869	1077	160
870	1078	159
871	1079	158
872	1081	157
873	1082	156
874	1083	154
875	1084	153
876	1085	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1092	146
882	1093	144
883	1094	143
884	1095	142
885	1096	141
886	1098	139
887	1099	138
888	1100	137
889	1102	136
890	1103	135
891	1105	133
892	1106	132
893	1107	131
894	1109	130
895	1110	128
896	1111	127
897	1112	126
898	1114	125
899	1115	123
900	1116	122
901	1117	121
902	1119	120
903	1120	119
904	1122	117
905	1123	116
906	1124	115
907	1125	114
908	1127	112
909	1128	111
910	1129	110
911	1130	109
912	1132	107
913	1133	106
914	1135	105
915	1135	104
916	1137	102
917	1138	101
918	1140	100
919	1141	99
920	1142	97
921	1143	96
922	1144	95
923	1145	94
924	1147	93
925	1148	91
926	1149	90
927	1150	89
928	1152	88
929	1153	86
930	1154	85
931	1155	84
932	1156	83
933	1158	81
934	1159	80
935	1160	79
936	1161	78
937	1162	76
938	1164	75
939	1165	74
940	1166	73
941	1167	71
942	1168	70
943	1170	69
944	1171	68
945	1172	66
946	1173	65
947	1174	64
948	1176	63
949	1177	61
950	1178	60
951	1180	59
952	1181	58
953	1182	57
954	1184	55
955	1185	54
956	1186	53
957	1187	52
958	1189	50
959	1190	49
960	1191	48
961	1192	47
962	1194	45
963	1195	44
964	1196	43
965	1197	42
966	1199	40
967	1200	39
968	1201	38
969	1202	37
970	1203	35
971	1205	34
972	1206	33
973	1207	32
974	1209	31
975	1210	29
976	1211	28
977	1212	27
978	1213	26
979	1215	24
980	1216	23
981	1217	22
982	1218	21
983	1220	19
984	1221	18
985	1222	17
986	1223	16
987	1224	14
988	1226	13
989	1227	12
990	1228	11
991	1229	9
992	1230	8
993	1232	7
994	1233	6
995	1234	4
996	1236	3
997	1237	2
998	1238	1
999	1240	0
